source,target,value
用户135,用户178,4
用户987,用户738,1
用户987,用户746,1
用户987,用户923,2
用户987,用户731,1
用户987,用户692,2
用户987,用户951,1
用户61,用户765,4
用户765,用户61,1
用户294,用户168,3
用户316,用户178,3
用户294,用户267,1
用户742,用户951,5
用户168,用户294,3
用户746,用户62,3
用户987,用户135,2
用户135,用户987,1
用户90,用户517,3
用户62,用户746,2
用户423,用户630,7
用户415,用户61,3
用户61,用户415,4
用户120,用户782,2
用户1001,用户423,2
用户207,用户891,9
用户630,用户423,6
用户746,用户684,47
用户506,用户502,4
用户294,用户782,19
用户782,用户294,14
用户891,用户207,2
用户443,用户120,2
用户120,用户996,4
用户746,用户120,1
用户935,用户530,4
用户530,用户935,2
用户629,用户334,3
用户951,用户774,1
用户540,用户135,1
用户120,用户280,10
用户935,用户450,2
用户334,用户517,3
用户334,用户684,3
用户450,用户935,1
用户935,用户62,2
用户24,用户851,3
用户851,用户24,2
用户851,用户214,5
用户923,用户178,3
用户178,用户923,1
用户168,用户935,2
用户935,用户168,1
用户90,用户207,1
用户415,用户232,2
用户232,用户415,1
用户334,用户450,10
用户334,用户443,1
用户517,用户334,2
用户978,用户90,3
用户772,用户506,2
用户214,用户772,1
用户294,用户334,2
用户334,用户294,1
用户530,用户214,7
用户772,用户416,14
用户165,用户846,1
用户742,用户746,3
用户135,用户415,3
用户935,用户607,1
用户178,用户772,9
用户356,用户104,11
用户951,用户454,1
用户214,用户517,4
用户935,用户415,2
用户629,用户288,142
用户120,用户189,17
用户978,用户24,2
用户24,用户978,2
用户280,用户214,1
用户935,用户692,20
用户214,用户280,4
用户166,用户90,4
用户178,用户851,1
用户178,用户189,22
用户178,用户915,4
用户178,用户530,2
用户692,用户935,11
用户605,用户189,1
用户90,用户469,1
用户356,用户214,9
用户90,用户335,4
用户214,用户851,11
用户214,用户978,8
用户104,用户425,471
用户765,用户90,15
用户718,用户214,2
用户517,用户416,1
用户629,用户851,6
用户120,用户987,13
用户120,用户731,6
用户120,用户178,18
用户120,用户450,3
用户120,用户720,4
用户120,用户316,15
用户586,用户231,1
用户530,用户189,11
用户189,用户530,13
用户74,用户313,33
用户313,用户74,8
用户629,用户731,3
用户629,用户720,1
用户294,用户630,7
用户630,用户294,7
用户731,用户120,3
用户334,用户423,6
用户120,用户90,8
用户423,用户334,4
用户517,用户120,2
用户530,用户502,7
用户765,用户425,66
用户790,用户423,2
用户720,用户120,3
用户189,用户502,30
用户731,用户502,2
用户506,用户334,2
用户978,用户891,2
用户189,用户178,6
用户334,用户506,1
用户415,用户923,10
用户415,用户450,17
用户415,用户851,17
用户415,用户517,15
用户415,用户742,13
用户415,用户718,39
用户851,用户415,6
用户450,用户90,2
用户450,用户415,10
用户334,用户415,10
用户316,用户416,4
用户416,用户316,1
用户742,用户415,7
用户425,用户416,52
用户472,用户425,35
用户316,用户120,12
用户189,用户731,15
用户74,用户104,29
用户294,用户104,18
用户772,用户415,4
用户718,用户120,7
用户135,用户189,1
用户607,用户948,1
用户267,用户947,1
用户772,用户978,6
用户891,用户189,2
用户978,用户231,1
用户978,用户316,6
用户607,用户62,3
用户62,用户607,1
用户90,用户294,1
用户772,用户316,9
用户978,用户214,3
用户502,用户692,2
用户288,用户629,672
用户947,用户267,1
用户718,用户923,1
用户720,用户334,2
用户731,用户189,10
用户500,用户74,1
用户189,用户891,2
用户316,用户923,4
用户416,用户790,37
用户159,用户765,1
用户334,用户280,3
用户923,用户316,3
用户629,用户923,2
用户790,用户416,44
用户90,用户947,1
用户316,用户454,1
用户267,用户443,3
用户200,用户629,7
用户415,用户927,1
用户586,用户923,15
用户923,用户586,7
用户189,用户24,16
用户629,用户200,5
用户120,用户335,1
用户120,用户630,1
用户1001,用户996,11
用户454,用户951,1
用户454,用户214,1
用户454,用户159,1
用户987,用户948,1
用户987,用户927,1
用户987,用户978,1
用户987,用户147,1
用户987,用户107,1
用户987,用户569,1
用户987,用户629,1
用户987,用户720,1
用户74,用户765,1
用户316,用户189,3
用户90,用户214,4
用户316,用户718,1
用户200,用户189,4
用户731,用户718,8
用户189,用户200,3
用户120,用户977,5
用户772,用户530,5
用户772,用户692,2
用户429,用户415,107
用户415,用户429,45
用户530,用户200,15
用户1001,用户418,3
用户978,用户502,5
用户450,用户267,3
用户280,用户288,16
用户267,用户450,3
用户718,用户415,14
用户200,用户530,25
用户530,用户428,11
用户428,用户530,12
用户267,用户851,1
用户90,用户313,6
用户851,用户267,1
用户61,用户90,10
用户592,用户738,5
用户189,用户90,2
用户502,用户742,6
用户742,用户502,4
用户782,用户912,24
用户912,用户782,29
用户502,用户24,1
用户288,用户630,88
用户90,用户923,19
用户189,用户428,23
用户416,用户61,6
用户61,用户416,4
用户443,用户502,1
用户923,用户502,12
用户214,用户927,3
用户214,用户135,1
用户214,用户586,15
用户334,用户107,4
用户738,用户592,3
用户104,用户790,28
用户267,用户915,5
用户915,用户267,9
用户790,用户104,23
用户178,用户280,15
用户630,用户288,20
用户316,用户927,2
用户316,用户147,2
用户178,用户718,4
用户178,用户977,4
用户425,用户104,446
用户416,用户231,6
用户425,用户765,60
用户231,用户416,2
用户418,用户178,24
用户469,用户24,1
用户178,用户418,17
用户500,用户334,14
用户692,用户923,5
用户267,用户316,4
用户267,用户978,2
用户294,用户500,2
用户978,用户267,4
用户316,用户267,8
用户356,用户790,24
用户135,用户790,6
用户790,用户135,2
用户334,用户168,4
用户742,用户718,21
用户168,用户334,3
用户178,用户692,6
用户231,用户178,6
用户692,用户530,3
用户692,用户178,2
用户166,用户718,2
用户267,用户684,1
用户746,用户630,2
用户530,用户746,8
用户120,用户948,54
用户530,用户288,6
用户232,用户178,5
用户178,用户232,5
用户443,用户718,3
用户630,用户746,1
用户418,用户1001,2
用户915,用户24,3
用户24,用户915,3
用户415,用户935,1
用户267,用户731,1
用户267,用户200,1
用户267,用户846,1
用户67,用户267,1
用户267,用户720,1
用户472,用户159,5
用户416,用户425,56
用户168,用户923,4
用户923,用户168,5
用户280,用户178,2
用户159,用户530,1
用户415,用户586,1
用户684,用户267,1
用户790,用户356,14
用户500,用户951,3
用户746,用户200,2
用户891,用户607,9
用户168,用户214,1
用户947,用户586,4
用户772,用户765,2
用户947,用户120,1
用户947,用户948,1
用户947,用户165,1
用户416,用户62,3
用户790,用户14,7
用户14,用户790,6
用户790,用户506,1
用户684,用户746,1
用户107,用户415,5
用户120,用户469,3
用户951,用户135,2
用户530,用户772,5
用户530,用户120,5
用户135,用户951,1
用户530,用户692,3
用户159,用户472,5
用户147,用户120,12
用户147,用户951,3
用户189,用户120,8
用户62,用户416,2
用户746,用户586,6
用户746,用户356,6
用户586,用户746,2
用户469,用户159,1
用户159,用户415,1
用户159,用户469,3
用户120,用户267,12
用户746,用户61,2
用户61,用户746,1
用户334,用户978,1
用户334,用户731,2
用户334,用户720,2
用户334,用户316,3
用户530,用户731,3
用户731,用户334,1
用户165,用户454,2
用户765,用户415,1
用户415,用户765,1
用户978,用户120,3
用户159,用户168,1
用户629,用户178,13
用户629,用户502,3
用户178,用户629,21
用户923,用户851,1
用户923,用户530,1
用户851,用户746,2
用户684,用户120,2
用户746,用户607,3
用户731,用户746,12
用户607,用户923,3
用户996,用户738,2
用户951,用户851,5
用户851,用户951,1
用户718,用户428,1
用户774,用户90,1
用户90,用户774,1
用户214,用户168,4
用户316,用户772,8
用户530,用户790,2
用户530,用户178,7
用户425,用户232,92
用户232,用户425,94
用户316,用户851,3
用户200,用户746,2
用户335,用户90,3
用户200,用户772,5
用户772,用户200,5
用户260,用户90,10
用户935,用户61,1
用户935,用户200,2
用户935,用户923,2
用户935,用户517,4
用户935,用户135,1
用户280,用户120,2
用户765,用户443,1
用户500,用户948,4
用户334,用户231,7
用户912,用户948,46
用户772,用户996,1
用户948,用户356,57
用户356,用户948,135
用户720,用户214,2
用户502,用户978,3
用户720,用户90,2
用户720,用户746,91
用户24,用户61,2
用户61,用户24,2
用户746,用户720,186
用户765,用户790,7
用户267,用户120,8
用户500,用户684,1
用户684,用户500,1
用户935,用户720,198
用户720,用户935,85
用户178,用户978,4
用户443,用户267,1
用户425,用户912,55
用户200,用户24,3
用户334,用户500,4
用户415,用户231,4
用户231,用户415,2
用户356,用户851,1
用户851,用户356,1
用户851,用户517,1
用户61,用户166,8
用户790,用户530,2
用户790,用户502,6
用户428,用户159,7
用户120,用户592,1
用户107,用户214,2
用户948,用户61,5
用户214,用户948,6
用户948,用户214,4
用户61,用户948,3
用户61,用户231,2
用户765,用户948,35
用户948,用户765,25
用户280,用户61,2
用户416,用户951,5
用户231,用户61,1
用户951,用户416,2
用户166,用户214,2
用户772,用户231,1
用户502,用户790,3
用户231,用户772,2
用户738,用户772,2
用户948,用户586,15
用户517,用户948,12
用户951,用户231,1
用户540,用户159,2
用户540,用户415,2
用户168,用户951,1
用户214,用户607,1
用户334,用户765,1
用户416,用户718,1
用户1001,用户90,2
用户178,用户214,11
用户790,用户472,4
用户948,用户454,1
用户260,用户313,3
用户313,用户260,2
用户718,用户178,8
用户159,用户166,1
用户166,用户159,1
用户517,用户935,1
用户189,用户772,3
用户214,用户718,3
用户425,用户90,1
用户454,用户586,1
用户454,用户782,2
用户454,用户738,1
用户586,用户454,1
用户428,用户454,2
用户425,用户948,38
用户948,用户912,34
用户607,用户746,6
用户428,用户607,1
用户126,用户948,16
用户746,用户24,1
用户746,用户629,1
用户746,用户316,1
用户912,用户425,112
用户189,用户334,1
用户746,用户189,1
用户948,用户294,5
用户294,用户948,1
用户120,用户540,11
用户772,用户401,1
用户772,用户948,9
用户948,用户772,6
用户90,用户948,51
用户977,用户200,5
用户288,用户846,528
用户977,用户178,4
用户500,用户746,3
用户912,用户891,1
用户912,用户530,1
用户313,用户948,8
用户846,用户288,103
用户746,用户500,1
用户718,用户166,2
用户425,用户472,27
用户425,用户607,1
用户607,用户425,1
用户765,用户416,12
用户425,用户168,75
用户948,用户90,17
用户168,用户425,96
用户891,用户915,3
用户316,用户630,3
用户630,用户316,4
用户415,用户425,3
用户356,用户415,1
用户782,用户260,1
用户288,用户530,5
用户415,用户948,4
用户718,用户24,2
用户425,用户356,49
用户782,用户607,8
用户120,用户62,10
用户607,用户782,4
用户90,用户260,6
用户24,用户718,2
用户280,用户67,1
用户200,用户977,2
用户948,用户915,1
用户948,用户742,1
用户948,用户530,1
用户530,用户948,1
用户951,用户178,5
用户178,用户951,3
用户692,用户500,1
用户472,用户61,1
用户540,用户120,3
用户356,用户425,118
用户923,用户200,1
用户772,用户62,1
用户915,用户178,3
用户915,用户62,1
用户772,用户24,2
用户200,用户923,1
用户742,用户231,2
用户120,用户200,3
用户977,用户428,1
用户977,用户629,2
用户629,用户977,1
用户996,用户90,6
用户851,用户629,3
用户948,用户104,5
用户948,用户166,2
用户948,用户147,1
用户948,用户782,5
用户948,用户684,1
用户912,用户294,1
用户1001,用户605,28
用户605,用户1001,25
用户605,用户977,1
用户120,用户24,2
用户607,用户472,2
用户517,用户232,2
用户978,用户772,1
用户472,用户607,1
用户232,用户517,1
用户90,用户425,1
用户630,用户540,4
用户530,用户443,2
用户915,用户135,13
用户915,用户443,8
用户851,用户443,2
用户450,用户731,1
用户530,用户469,1
用户469,用户530,1
用户443,用户731,1
用户443,用户851,1
用户443,用户915,1
用户443,用户530,1
用户200,用户517,1
用户166,用户948,5
用户540,用户630,3
用户782,用户61,22
用户120,用户935,2
用户120,用户415,2
用户107,用户502,1
用户61,用户782,18
用户104,用户472,3
用户472,用户104,1
用户630,用户846,1
用户189,用户517,1
用户189,用户742,1
用户996,用户14,4
用户692,用户443,1
用户923,用户450,2
用户948,用户425,94
用户280,用户772,3
用户978,用户178,1
用户74,用户214,12
用户517,用户189,2
用户605,用户718,2
用户935,用户742,3
用户605,用户61,3
用户61,用户605,1
用户214,用户61,3
用户214,用户74,10
用户189,用户135,1
用户912,用户267,4
用户120,用户951,6
用户425,用户415,2
用户951,用户120,2
用户425,用户517,2
用户742,用户851,1
用户425,用户61,1
用户61,用户425,1
用户425,用户586,2
用户267,用户912,2
用户313,用户166,1
用户851,用户742,1
用户62,用户120,6
用户517,用户415,4
用户586,用户232,2
用户586,用户425,2
用户915,用户935,2
用户915,用户720,1
用户951,用户107,2
用户450,用户517,2
用户423,用户790,1
用户159,用户425,3
用户165,用户280,2
用户425,用户159,2
用户450,用户502,1
用户502,用户506,5
用户189,用户316,2
用户912,用户61,2
用户214,用户166,1
用户61,用户912,1
用户280,用户165,2
用户517,用户502,2
用户517,用户742,5
用户517,用户692,1
用户586,用户61,9
用户772,用户267,1
用户951,用户978,2
用户61,用户586,3
用户14,用户605,3
用户765,用户232,7
用户506,用户231,2
用户742,用户472,1
用户742,用户232,2
用户107,用户178,2
用户517,用户782,1
用户1001,用户189,1
用户107,用户987,1
用户14,用户90,1
用户502,用户738,4
用户135,用户629,1
用户147,用户720,6
用户912,用户790,5
用户720,用户951,1
用户948,用户316,1
用户782,用户517,2
用户316,用户948,1
用户517,用户746,1
用户316,用户280,1
用户506,用户418,2
用户356,用户923,5
用户418,用户506,2
用户923,用户356,4
用户923,用户718,2
用户718,用户951,1
用户951,用户718,1
用户977,用户120,2
用户189,用户951,1
用户530,用户316,2
用户782,用户356,3
用户168,用户316,1
用户720,用户147,5
用户738,用户692,1
用户135,用户586,3
用户586,用户135,3
用户692,用户738,1
用户951,用户415,1
用户500,用户415,1
用户415,用户500,1
用户214,用户425,4
用户425,用户214,5
用户502,用户120,2
用户415,用户135,3
用户104,用户166,1
用户104,用户232,1
用户200,用户120,3
用户334,用户472,1
用户120,用户425,7
用户425,用户120,9
用户231,用户120,1
用户915,用户415,1
用户120,用户231,1
用户231,用户915,1
用户231,用户742,1
用户334,用户948,1
用户334,用户425,1
用户260,用户948,5
用户260,用户425,5
用户948,用户260,4
用户891,用户978,1
用户782,用户231,2
用户231,用户782,1
用户214,用户630,3
用户630,用户214,3
用户74,用户90,2
用户316,用户586,2
用户90,用户74,5
用户948,用户790,12
用户948,用户74,16
用户731,用户684,1
用户790,用户948,5
用户765,用户607,1
用户607,用户765,1
用户450,用户912,1
用户231,用户947,1
用户790,用户586,2
用户586,用户790,1
用户472,用户790,1
用户586,用户316,1
用户316,用户782,1
用户790,用户166,1
用户423,用户189,1
用户267,用户782,4
用户782,用户316,1
用户782,用户267,5
用户782,用户915,10
用户189,用户423,1
用户415,用户502,5
用户313,用户425,1
用户502,用户415,1
用户977,用户790,8
用户790,用户977,3
用户425,用户74,1
用户104,用户948,4
用户90,用户423,3
用户178,用户107,1
用户948,用户472,4
用户605,用户790,1
用户450,用户334,1
用户782,用户24,6
用户472,用户948,1
用户923,用户948,1
用户948,用户923,1
用户74,用户948,2
用户425,用户313,4
用户415,用户454,1
用户316,用户530,2
用户316,用户450,1
用户316,用户135,1
用户316,用户742,1
用户915,用户782,9
用户731,用户316,1
用户135,用户316,1
用户948,用户947,1
用户951,用户166,1
用户313,用户790,2
用户790,用户313,1
用户200,用户782,1
用户951,用户147,4
用户425,用户260,3
用户790,用户425,27
用户425,用户790,24
用户782,用户948,3
用户517,用户425,1
用户629,用户782,2
用户731,用户851,1
用户104,用户168,2
用户720,用户540,1
用户428,用户978,1
用户168,用户104,2
用户232,用户586,1
用户586,用户415,1
用户428,用户280,1
用户772,用户90,1
用户90,用户772,1
用户772,用户630,1
用户772,用户335,1
用户415,用户189,1
用户772,用户425,3
用户425,用户772,2
用户517,用户772,1
用户178,用户356,1
用户912,用户772,5
用户423,用户718,6
用户189,用户415,1
用户782,用户746,1
用户891,用户61,3
用户90,用户267,3
用户267,用户90,1
用户200,用户469,1
用户923,用户189,1
用户189,用户923,1
用户692,用户189,1
用户692,用户915,1
用户428,用户692,1
用户951,用户335,2
用户335,用户951,1
用户692,用户987,1
用户948,用户415,2
用户746,用户912,3
用户288,用户891,2
用户214,用户267,2
用户425,用户500,1
用户472,用户746,1
用户746,用户472,2
用户168,用户746,1
用户912,用户746,5
用户846,用户530,2
用户720,用户425,1
用户586,用户502,2
用户356,用户746,1
用户891,用户288,2
用户684,用户502,1
用户684,用户472,2
用户684,用户765,1
用户267,用户214,4
用户782,用户629,4
用户472,用户502,1
用户472,用户586,3
用户472,用户684,3
用户61,用户891,1
用户232,用户742,2
用户782,用户891,1
用户231,用户731,1
用户923,用户765,1
用户923,用户472,1
用户231,用户423,1
用户294,用户214,1
用户951,用户629,1
用户951,用户891,1
用户316,用户334,1
用户782,用户425,1
用户425,用户782,1
用户692,用户851,1
用户14,用户923,1
用户280,用户951,1
用户120,用户98,1
用户334,用户891,1
用户288,用户24,1
用户288,用户280,1
用户231,用户334,1
用户782,用户630,1
用户630,用户782,1
用户24,用户782,2
用户500,用户425,4
用户418,用户502,2
用户502,用户418,2
用户718,用户506,1
